,sec,p0,p1,p2,mag
0,3660758692.68,44.519000001146,6.648999999500369,11000,0.7
1,3660756121.24,44.742000001253395,6.7260000001645714,4000,3.4
2,3660751008.39,44.566000000998564,6.741000000245553,13000,1.4
3,3660406931.74,44.64600000096674,6.2700000006181265,5000,0.3
4,3660273371.83,44.39200000106671,6.8410000004621265,2000,0.5
5,3660260425.45,44.47300000124462,6.674000000543596,12000,0.6
6,3660182101.07,44.69500000099853,6.2990000005016125,16000,0.2
7,3660157376.84,44.535000001100954,6.268999999629299,0,0.6
8,3660155091.03,44.586000000498025,6.2850000002636985,2000,0.3
9,3660154481.48,44.671000000960284,6.24399999989078,13000,1.1
10,3660154167.92,44.61900000132442,6.36700000059899,4000,1.5
11,3660153277.17,44.656000000855954,6.306999999452764,5000,0.8
12,3660039931.01,44.646000000536006,6.822000000184211,6000,2.1
13,3659903314.52,44.5180000005617,6.65200000001458,12000,0.4
14,3659823323.92,44.49100000097527,6.754999999641628,11000,1.5
15,3659796395.1,44.505000000980004,6.638999999443383,12000,0.7
16,3659790176.88,44.55900000081101,6.711999999405112,15000,1.1
17,3659763691.88,44.68400000109246,6.734999999823787,8000,1.2
18,3659722829.09,44.501000001124595,6.756999999737668,0,1.2
19,3659694453.46,44.500000001031005,6.620999999573627,5000,0.7
20,3659689092.07,44.54800000103739,6.6959999995818595,14000,0.9
21,3659668344.64,44.5080000007056,6.623000000552411,5000,0.5
22,3659634380.68,44.527000001318605,6.6580000006468,13000,1.0
23,3659628750.16,44.580000001283764,6.265999999836009,5000,0.4
24,3659581239.18,44.56100000092932,6.752000000154039,14000,1.4
25,3659578567.56,44.55100000088348,6.728000000130588,13000,1.2
26,3659548213.11,44.514000000551626,6.7650000004480555,12000,1.1
27,3659512043.48,44.44700000093683,6.6670000001288825,6000,0.9
28,3659377069.15,44.73100000083502,6.640000000165589,9000,0.2
29,3659373680.65,44.56300000120206,6.735000000205473,14000,1.2
30,3659349631.76,44.45700000070974,6.676000000432404,7000,0.9
31,3659334275.83,44.51900000107524,6.808999999927213,11000,1.3
32,3659284631.35,44.43800000090847,6.655999999529658,2000,0.8
33,3659238683.37,44.51600000074601,6.65599999997677,12000,0.5
34,3659195699.87,44.446000001311035,6.637999999603602,5000,0.7
35,3659155046.99,44.61700000125559,6.722000000482712,8000,0.9
36,3658740907.24,44.48300000118782,6.721000000605971,10000,1.1
37,3658732692.7,44.57900000076283,6.745999999608337,12000,1.3
38,3658727467.29,44.524000001358836,6.665999999925174,14000,0.8
39,3658717352.34,44.514000001130405,6.648999999847323,11000,0.9
40,3658689892.72,44.47600000062693,6.721000000430534,12000,1.2
41,3658683123.59,44.540000000776864,6.697999999653039,10000,1.5
42,3658645630.26,44.45400000077127,6.695999999985884,9000,0.8
43,3658634704.06,44.509000001172026,6.6470000003354714,12000,1.1
44,3658631488.38,44.49400000088896,6.744999999845773,12000,1.1
45,3658623846.4,44.50000000080827,6.7520000000019245,12000,1.3
46,3658597311.46,44.555000000707174,6.711999999490188,14000,1.0
47,3658593940.05,44.572000000649794,6.74000000009184,15000,1.0
48,3658568060.94,44.54100000104766,6.68299999987619,13000,0.9
49,3658559298.02,44.53700000093279,6.679000000325442,13000,0.8
50,3658559233.01,44.53600000062998,6.677000000438902,13000,0.9
51,3658557899.11,44.564000001002505,6.733000000262425,5000,1.8
52,3658552869.13,44.525000001315306,6.659000000366781,12000,0.7
53,3658523075.91,44.51400000107414,6.650999999513955,12000,0.7
54,3658494095.79,44.51500000116305,6.793999999546271,15000,1.1
55,3658483533.42,44.50900000083988,6.64399999963681,10000,0.7
56,3658469411.07,44.51100000097007,6.656000000117756,13000,0.6
57,3658467857.38,44.55700000075974,6.720999999435741,14000,1.1
58,3658465961.55,44.57900000076283,6.745999999608337,15000,1.2
59,3658464703.94,44.5470000009216,6.731999999982392,10000,2.2
60,3658445535.82,44.5110000006878,6.64499999962171,11000,0.7
61,3658443606.19,44.41500000092248,6.679000000254582,10000,0.8
62,3658356151.09,44.694000001197026,6.727000000530521,10000,1.1
63,3658296277.84,44.45600000075412,6.64700000057545,0,0.8
64,3658034888.78,44.454000000806225,6.684000000062254,7000,1.1
65,3657918031.01,44.544000001282114,6.704999999983856,12000,1.1
66,3657895135.47,44.5120000011203,6.651000000206177,11000,1.1
67,3657795018.03,44.560000001108115,6.733000000433805,12000,1.2
68,3657771375.34,44.519000001307504,6.648000000221172,11000,0.9
69,3657762829.08,44.494000001248914,6.707000000112679,13000,1.0
70,3657715876.46,44.549000000881996,6.708999999814783,14000,1.9
71,3657715831.47,44.534000001199004,6.691000000583984,13000,2.2
72,3657556843.6,44.476000000838,6.703000000128384,15000,1.1
73,3657508331.52,44.51400000136668,6.656000000149629,10000,1.0
74,3657473942.5,44.503000000645805,6.753999999502867,12000,1.2
75,3657467677.37,44.50200000103868,6.637999999719546,10000,0.8
76,3657444061.12,44.44800000101258,6.677999999701961,10000,1.0
77,3657438341.43,44.45500000077586,6.6920000000091555,10000,1.1
78,3657396497.28,44.556000000738045,6.72700000007356,13000,1.5
79,3657394462.33,44.555000000759925,6.743000000356785,14000,1.7
80,3657297985.71,44.49500000071814,6.618000000121495,5000,1.2
81,3657235061.99,44.433000001111424,6.651000000072409,5000,1.2
82,3657206579.01,44.51100000081711,6.764000000532834,12000,1.3
83,3657204906.03,44.51300000071791,6.774000000576669,12000,1.2
84,3657191096.03,44.47200000085516,6.409000000434832,7000,1.4
85,3657117913.22,44.42800000105215,6.648000000026326,0,0.9
86,3657037323.51,44.5150000008154,6.775999999837692,12000,1.1
87,3657001416.7,44.39300000128869,6.879999999490319,12000,1.2
88,3656994890.41,44.68400000069194,6.7100000005240545,11000,0.4
89,3656946096.08,44.503000001162455,6.752999999387409,10000,1.7
90,3656881049.94,44.67900000054942,6.834000000441466,7000,1.7
91,3656609631.38,44.50600000118654,6.762000000041948,13000,1.3
92,3656559014.05,44.260000000570805,6.590000000048511,17000,0.9
