sec	p0	p1	p2	mag
3737401361	577065.4425	8588193.3404	10000	5.07
3737439419	578153.9937	8589296.268	10000	5.25
3737439618	574920.8923	8598152.4123	10000	4.37
3737456235	578166.2533	8593719.9472	10000	4.49
3737475399	579245.7386	8591505.0797	10000	4.22
3737477037	577074.52	8591511.097	10000	4.51
3737491819	580347.0711	8597031.6195	10000	4.6
3737500247	581429.7168	8595922.595	10000	4.4
3737507113	578163.192	8592614.0286	10000	4.34
3737528710	577086.5907	8595934.7609	10000	4.2
3737538408	579248.8449	8592611.0013	10000	5.22
3737563297	580350.2078	8598137.5393	10000	4.65
3737579061	578169.3123	8594825.865	10000	4.13
3737581000	581423.3463	8593710.7467	10000	5.25
3737590286	575988.914	8591514.0429	10000	5
3737593698	577074.52	8591511.097	10000	4.29
3737597447	577083.5766	8594828.8461	10000	4.73
3737618612	573835.0355	8598155.262	10000	4.9
3737621005	577083.5766	8594828.8461	10000	5.31
3737658881	578160.1282	8591508.1093	10000	5.15
3737678069	577080.5601	8593722.9306	10000	4.18
3737745391	581400.9718	8585969.2522	10000	5.17
3737765340	580315.5703	8585972.3768	10000	4.61
3737773466	581394.5569	8583757.3893	10000	4.29
3737794481	582499.3465	8590389.8111	10000	4.74
3737797473	582499.3465	8590389.8111	10000	5.01
3737825584	584657.1898	8585959.6269	10000	4.37
3737848161	577092.612	8598146.5879	10000	4.33
3737930241	582505.8169	8592601.6688	10000	4.29
3737985433	581407.3769	8588181.1119	10000	5.72
3737998936	584653.8553	8584853.6888	10000	4.53
3738011534	585742.6005	8585956.3346	10000	4.65
3738290535	581426.5328	8594816.6713	10000	4.56
3738490978	582479.875	8583754.2182	10000	5.15
3738605731	580321.89	8588184.2319	10000	4.78
3738607224	581400.9718	8585969.2522	10000	4.09
3738608566	585749.3472	8588168.2131	10000	4.21
3738609765	586851.8801	8593694.5779	10000	4.04
3738610642	584667.178	8589277.4363	10000	4.74
3738710974	585759.4479	8591486.0248	10000	4.08
3738833397	582502.583	8591495.7404	10000	4.83
3738944516	582492.866	8588177.9501	10000	4.98
3738944742	579251.9488	8593716.9221	10000	5.27
3738960748	581413.772	8590392.9683	10000	4.7
3739110085	586848.4785	8592588.6407	10000	5.33
3739128469	582476.6211	8582648.2831	10000	4.1
3739136894	582496.1075	8589283.881	10000	3.9
3739243253	581420.1573	8592604.8214	20000	5.45
3739278700	583584.9232	8590386.612	20000	4.26
3739286196	584660.5218	8587065.5642	20000	4.6
3739438118	567306.7769	8592642.0047	20000	4.03
3739439472	568389.7288	8591533.4942	20000	4.07
3739471931	564042.3528	8589331.9006	20000	4.05
3739474542	565138.0682	8593752.993	20000	4.38
3739499843	571643.6999	8590419.5012	20000	3.89
3739545131	565127.8522	8589329.4108	20000	4.05
3739591986	582486.3755	8585966.0858	20000	4.04
3739705150	568384.3612	8589321.6901	20000	4.01
3739710049	565127.8522	8589329.4108	20000	4.07
3739789815	578153.9937	8589296.268	20000	4.51
3739814720	569464.4067	8587107.2216	20000	4.54
3739815420	568370.906	8583792.1655	20000	4.29
3739920958	565132.9641	8591541.2036	20000	4.68
3740110478	575952.9911	8578242.9981	20000	4.36
3740923221	570552.6044	8588210.4266	20000	3.95
3741521066	569475.3208	8591530.8408	20000	3.85
3742170768	570563.6804	8592634.0504	10000	4.57
3743404257	571657.7309	8595949.0306	10000	3.84
3743793625	570607.6425	8610328.4143	10000	4.32
3744415037	574941.3016	8605893.7511	10000	3.58
3744438099	559723.7299	8600400.2843	10000	4.27
3744459720	553222.7307	8608154.3185	10000	4
3744463515	555390.8436	8605938.4486	10000	4.01
3744465072	559730.7017	8603717.9211	10000	4.45
3744465491	558646.9376	8604826.0556	10000	3.92
3744469865	557563.0889	8605934.1445	10000	4.13
3744471975	557563.0889	8605934.1445	10000	4.09
3744475377	558649.2139	8605931.9304	10000	4.47
3744490663	558637.8144	8600402.5482	10000	4.14
3744499473	557560.8547	8604828.2713	10000	4.17
3744514522	557560.8547	8604828.2713	10000	4.24
3744575140	560816.7457	8603715.6208	10000	4.54
3744602525	579282.8557	8604776.0851	10000	4.27
3744620421	551046.3712	8605946.5601	10000	4.11
3744683961	570596.7033	8605904.8429	10000	3.93
3744834445	554308.9337	8608152.273	10000	3.95
3745399757	570585.7299	8601481.2585	10000	4.26
3745455286	571671.7076	8601478.5396	10000	4.28
3745644679	570591.2209	8603693.0524	10000	4.22
3745995926	571682.8499	8605902.1321	10000	4.13
3746123494	559702.7167	8590447.3295	10000	4.32
3746258932	569486.2011	8595954.4468	10000	3.97
3746302226	570596.7033	8605904.8429	10000	4.29
3746308947	571668.9166	8600372.6395	10000	4.3
3746311862	574938.3928	8604787.848	10000	4.81
3746313805	569494.3393	8599272.1427	10000	3.92
3746333246	578163.192	8592614.0286	10000	4.03
3746399725	572757.6873	8601475.7792	10000	3.89
3746407386	571668.9166	8600372.6395	10000	4
3746475427	556472.5797	8603724.5733	10000	4.8
3746485519	571654.9291	8594843.1264	10000	3.97
3746745354	574906.2461	8592622.86	10000	4.26
3746787944	573820.6016	8592625.7202	10000	4.11
3746818252	571632.4361	8585995.8628	10000	4.13
3746843670	574867.9004	8578245.9277	10000	4.17
3746918722	569491.6287	8598166.2449	10000	4.31
3747070031	576048.0486	8613632.1886	10000	3.89
3747147869	574915.0406	8595940.5938	10000	4.18
3747165373	571674.4965	8602584.439	10000	4.16
3747254022	570593.9632	8604798.9481	10000	4.18
3747551790	555399.4263	8610361.9203	10000	4.26
3747578309	556476.9655	8605936.3173	10000	4.69
3747667541	559719.073	8598188.5223	10000	4.27
3748358413	556472.5797	8603724.5733	10000	4.02
3748869609	557558.6188	8603722.3974	10000	5.01
3748987725	559714.4088	8595976.7571	10000	4.22
3749248162	555401.5678	8611467.7862	10000	4.02
3749303523	557572.0082	8610357.629	10000	4.02
3749537859	556487.9	8611465.6627	10000	4.12
3749617858	560809.6471	8600397.9789	10000	4.12
3749761031	556470.3842	8602618.7001	10000	4.22
3750713469	553237.1219	8615895.3524	10000	4.02
3750732261	557558.6188	8603722.3974	10000	4.96
3750852312	559735.3406	8605929.6748	10000	4.32
3750963873	554306.8293	8607046.4062	10000	4.02
3751006895	555395.1383	8608150.1861	10000	3.92
3751153150	564087.314	8609237.8843	10000	4.12
3751310339	560812.0151	8601503.8603	10000	4.03
3751321806	557558.6188	8603722.3974	10000	3.97
3751328892	558633.2421	8598190.7895	10000	4.14
3751405482	557576.4574	8612569.3663	10000	4.09
3751452806	562986.3899	8602605.0124	10000	4.14
3751472636	574923.8147	8599258.3203	10000	3.86
3751544559	556485.7165	8610359.7953	10000	3.88
3751634164	555388.6937	8604832.5786	10000	4.19
3751637766	557540.6685	8594875.376	10000	4.42
3751760239	558644.6594	8603720.18	10000	4.46
3751767106	556481.3444	8608148.0579	10000	3.94
3751768232	559705.0587	8591553.2166	10000	4.04
3751794631	559742.2853	8609247.2993	10000	3.92
3751824241	558649.2139	8605931.9304	10000	4.04
3751842908	558674.1366	8618096.4993	10000	4.19
3751889560	554315.2371	8611469.8684	10000	4.06
3752014496	560828.5399	8609245.0075	10000	4.08
3752014740	555399.4263	8610361.9203	10000	4.02
3752026107	572729.2552	8590416.7204	10000	3.97
3752060409	554317.335	8612575.7319	10000	3.89
3752274485	555399.4263	8610361.9203	10000	3.96
3752457062	556470.3842	8602618.7001	10000	4.86
