sec	p0	p1	p2	mag
3342932984.77	647129.9671	1752474.8136	6480	2
3342920678.22	645909.5752	1749743.7893	7624.023	1.87
3342920150.39	650555.4723	1750190.315	7722.9	1.95
3342911910.29	643967.245	1754140.6403	6569.336	2.06
3342911085.37	644915.6458	1755139.7754	3537.109	1.8
3342906539.8	661572.3017	1743735.2457	2043.457	2.05
3342887860.25	656525.9224	1744987.651	20724.609	2.1
3342882849.52	650946.3381	1749503.94	11140.137	2.23
3342841022.63	654003.1969	1744554.26	13490	2
3342810892.47	644918.817	1754698.6578	4591.797	1.36
3342730790.14	648408.3408	1752380.4333	6295.166	1.97
3342555164.2	652324.7558	1752049.9208	9667.48	1.24
3342526525.43	656999.4133	1745908.1067	2307.129	1.75
3342514283.98	646172.6557	1748918.6531	4262.207	1.68
3342448702.07	643670.1398	1754579.5401	4987.305	1.49
3342411901.03	647733.8523	1754194.9946	7679.443	2.13
3342388567.58	647666.2569	1753367.4767	8140.869	2.21
3342317753.51	648730.8954	1750622.861	10300	1.9
3342302500.3	643175.3434	1754383.0831	1417.236	1.75
3342299184.95	648116.6401	1752047.5682	6492.92	1.97
3342287559.22	644401.4578	1752517.2987	6097.412	3.14
3342252790.71	643188.6403	1754699.1654	2890	2.39
3342238360.04	643603.3227	1748459.3235	65.918	1.79
3342205711.66	645000.9712	1753486.4188	3141.602	1.48
3342199921.28	647813.728	1754360.2715	8200	1.84
3342177976.56	644387.3005	1754501.9357	1790.283	1.6
3342172222	644303.5441	1755934.7886	230.713	2.23
3342170025.12	650560.7863	1749732.3862	15662.109	2.11
3342169521.16	644267.6671	1756218.1381	2520	2.17
3342168560.73	644709.413	1755717.1124	32.959	2.2
3342167254.41	642080.3622	1753327.782	1988.037	1.76
3342166411.67	643865.3826	1755545.7149	560.303	2.34
3342166165.02	644238.2966	1755240.6314	2800	2.23
3342165886.81	645396.8901	1754646.9822	2020.996	1.93
3342165845.42	643269.3749	1754080.5205	2043.457	2.92
3342165844.01	642571.2959	1753850.6949	7435.547	2.94
3342165190.56	644162.8357	1755051.6091	1021.729	2.57
3342163695.36	641779.5232	1751699.2131	1823.242	1.37
3342162527.2	643462.0884	1756600.2201	1590	1.83
3342162153.19	643699.4095	1755627.3015	65.918	1.43
3342065035.29	656710.8154	1740280.1888	13552.734	2.8
3342064474.25	647136.9695	1751405.3667	6710	1.43
3342064105.11	647521.8705	1750416.8433	6041.992	1.65
3342044145.88	646687.1114	1754684.8127	9290	1.05
3341956980.75	651154.7852	1753884.619	8820	1.56
3341925902.55	657627.7645	1735050.6858	10415.039	2.34
3341919725.02	652186.5302	1740470.7133	2043.457	2.21
3341915889.87	648523.9737	1749045.6844	4416.504	1.82
3341812629.73	649002.0462	1765033.9976	3005.859	2.71
3341808578.36	649932.4175	1752529.0821	1955.078	1.94
3341800304.52	658444.2932	1752939.0433	9730	2.2
3341794360.24	646815.2204	1754206.2264	8960	1.92
3341748126.28	646018.914	1755037.2825	1977.539	1.7
3341747022.34	654016.6288	1746713.9649	9360.352	1.96
3341731698.62	643835.0635	1754094.7607	4520	2.12
3341704148.55	645463.3809	1755639.7828	65.918	1.8
3341683036.46	645128.1288	1753680.2037	3394.775	2.13
3341660469.59	650609.5715	1765045.0199	9861.328	1.77
3341656044.03	649446.9453	1748445.7876	5141.602	2.33
3341639519.37	642201.4084	1768970.5623	-1654.297	0.7
