sec	lat	lon	z	mag
3342238360.04	15.810747	-61.659167	65.918	1.79
3342205711.66	15.856101	-61.645817	3141.602	1.48
3342199921.28	15.863833	-61.6195	8200	1.84
3342177976.56	15.865315	-61.651486	1790.283	1.6
3342172222	15.87827	-61.652182	230.713	2.23
3342170025.12	15.821842	-61.594139	15662.109	2.11
3342169521.16	15.880833	-61.6525	2520	2.17
3342168560.73	15.876279	-61.648405	32.959	2.2
3342167254.41	15.854836	-61.673097	1988.037	1.76
3342166411.67	15.874779	-61.656297	560.303	2.34
3342166165.02	15.872	-61.652833	2800	2.23
3342165886.81	15.866567	-61.64205	2020.996	1.93
3342165845.42	15.861571	-61.66195	2043.457	2.92
3342165844.01	15.859534	-61.668482	7435.547	2.94
3342165190.56	15.870296	-61.653549	1021.729	2.57
3342163695.36	15.840134	-61.676002	1823.242	1.37
3342162527.2	15.884333	-61.66	1590	1.83
3342162153.19	15.875526	-61.657842	65.918	1.43
3342065035.29	15.736037	-61.537339	13552.734	2.8
3342064474.25	15.837167	-61.626	6710	1.43
3342064105.11	15.82821	-61.622467	6041.992	1.65
3342044145.88	15.866833	-61.63	9290	1.05
3341956980.75	15.859333	-61.588333	8820	1.56
3341925902.55	15.688717	-61.529122	10415.039	2.34
3341919725.02	15.738038	-61.579545	2043.457	2.21
3341915889.87	15.815758	-61.613196	4416.504	1.82
3341812629.73	15.960229	-61.60774	3005.859	2.71
3341808578.36	15.847156	-61.599831	1955.078	1.94
3341800304.52	15.850333	-61.520333	9730	2.2
3341794360.24	15.8625	-61.628833	8960	1.92
3341748126.28	15.870058	-61.636218	1977.539	1.7
3341747022.34	15.794351	-61.56207	9360.352	1.96
3341731698.62	15.861667	-61.656667	4520	2.12
3341704148.55	15.875536	-61.641369	65.918	1.8
3341683036.46	15.857845	-61.644618	3394.775	2.13
3341660469.59	15.960231	-61.592722	9861.328	1.77
3341656044.03	15.810281	-61.604617	5141.602	2.33
3341639519.37	15.996209	-61.671037	-1654.297	0.7
3341567618.12	15.829833	-61.586333	12370	1.94
3341535346.66	15.960231	-61.568764	6064.453	1.74
3341532829.76	15.860071	-61.604686	7382.812	1.56
3341517701.11	15.600013	-61.55036	23048.828	1.91
3341445627.85	15.70784	-61.537523	13289.062	1.96
3341443855.25	15.747019	-61.530845	3493.652	1.65
3341436313.12	15.833947	-61.610633	7481.689	1.81
3341408403.11	15.7378	-61.533073	7943.115	2.44
3341387504.13	15.73481	-61.531701	8536.377	2.12
3341368593.75	15.747	-61.524667	12520	3.21
3341334566.49	15.83468	-61.636539	3866.699	1.6
3341334514.07	15.839168	-61.630022	2482.422	1.49
3341333305.52	15.853375	-61.620594	823.975	2.13
3341243985.72	15.8895	-61.694833	4740	0.85
